Item No.	PART NUMBER	revision	QTY	Description	Material	Finish	Treatment	Colour	Comments	SecondProcess	Third Process	Author	Approved	Asset	SW-Folder Name(Folder Name)	SW-File Name(File Name)	SW-Configuration Name(Configuration Name)	Distributor	mass	DrawnDate	OEM_Internet	OEM_Supplier	OEM_Data_Sheet	Qb_Code	QB_Catergory	Sheet Metal Thickness	Spare_Part	Supplier_Part_Number
1.1.2.1.2.3.21	            AS 1237.1 N - 10SS		1	M10 FLAT WASHER STAINLESS STEEL	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\plain washers\	plain washer - normal_1_as	AS 1237.1 N - 10SS		0.0			Costless Bolts						
1.1.2.1.2.3.22	            GB_HEXAGON_TYPE9 M4-SSS		2	M4 Nyloc Nut -SS	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\nuts\nyloc\	prevailing torque type style 1_gb	GB_HEXAGON_TYPE9 M4-SSS		0.0			Costless Bolts						
1.1.2.1.2.3.23	            AS 1420 - M4 x 16-NSS		2	M4 x 16 Socket Head Cap Screw Stainless Steel	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\bolts and screws\socket head screws\	hexagon socket head cap screw_1_as	AS 1420 - M4 x 16-NSS		0.00			Costless Bolts						
1.1.2.1.2.4	          AS 1237.1 N - 6SS		8	M6 FLAT WASHER - SS	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\plain washers\	plain washer - normal_1_as	AS 1237.1 N - 6SS		0.0			Costless Bolts						
1.1.2.1.2.5	          AS 1112.1 S1 - M6-D-NSS		8	M6 HEX NUT - SS	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\nuts\hex nuts\	hexagon nut style 1 (grades a and b)_as	AS 1112.1 S1 - M6-D-NSS		0.003			Costless Bolts						
1.1.2.1.2.6	          AS 1237.1 N - 8SS		2	M8 Washer Stainless Steel	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\plain washers\	plain washer - normal_1_as	AS 1237.1 N - 8SS		0.0			Costless Bolts						
1.1.2.1.2.7	          GB_FASTENER_WASHER_WSLW 8SS		2	M8 SPRING WASHER STAINLESS STEEL	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\spring lock washers\	wave single coil spring lock washers_gb	GB_FASTENER_WASHER_WSLW 8SS		0.00			Costless Bolts						
1.1.2.1.2.8	          AS 1111.1 - M8 x 40 x 40-NNSS		2	M8 x 40mm Long Hex Head Bolt - SS	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\bolts and screws\hex head\	hex bolt gradec_1_as	AS 1111.1 - M8 x 40 x 40-NNSS		0.0228			Costless Bolts						
1.1.2.1.2.9	          GB_FASTENER_WASHER_WSLW 6SS		8	M6 Spring Washer Stainless Steel	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\spring lock washers\	wave single coil spring lock washers_gb	GB_FASTENER_WASHER_WSLW 6SS		0.00			Costless Bolts						
1.1.2.1.3	        AWS-Z-003208	2	1	MOTOR & SEWING HEAD ASSEMBLY	AS PER BOM	NATURAL			ASSEMBLY			MF	DG		C:\AWS PDM\AWS\	AWS-Z-003208	Default		31.0	03/02/2020							-	
1.1.2.1.3.1	          AWS-Z-003929	2	1	SPIDER COUPLING ASSEMBLY	AS PER BOM	NATURAL			AWS PRODUCTION			MF	DG		C:\AWS PDM\AWS\	AWS-Z-003929	Default		0.1	03/02/2020							-	
1.1.2.1.3.1.1	            OEM-L075-Ø19	-	1	SPIDER COUPLING	REFER DATA SHEET	NATURAL			PURCHASE			JQ			C:\AWS PDM\OEM\1051. Transmission\	OEM-L075-Ø19	Ø13.7	BEARING WHOLESALER	0.03	13/11/2019	http://bearingwholesalers.com.au/	BEARING WHOLESALER		1051	Transmission		YES	L075-Ø19
1.1.2.1.3.1.2	            OEM-L075-POLY	-	1	SPIDER COUPLING	REFER DATA SHEET	NATURAL			PURCHASE			JQ			C:\AWS PDM\OEM\1051. Transmission\	OEM-L075-POLY	Poly	BEARING WHOLESALER	0.01	13/11/2019	http://bearingwholesalers.com.au/	BEARING WHOLESALER		1051	Transmission		YES	L075-POLY
1.1.2.1.3.1.3	            AWS-A-005566	1	1	MODIFIED L075-Ø12 SPIDER COUPLING	AS PER BOM	NATURAL			MACHINE				CL		C:\AWS PDM\AWS\	AWS-A-005566	Default		0.0	06/05/2020							-	
1.1.2.1.3.1.3.1	              OEM-L075-Ø12	-	1	SPIDER COUPLING	REFER DATA SHEET	NATURAL			PURCHASE			JQ			C:\AWS PDM\OEM\1051. Transmission\	OEM-L075-Ø12	Ø13.7	BEARING WHOLESALER	0.03	13/11/2019	http://bearingwholesalers.com.au/	BEARING WHOLESALER		1051	Transmission		YES	L075-Ø12
1.1.2.1.3.2	          AWS-A-003931	1	1	PEDESTAL SEWING MACHINE REFLECTOR PLATE	MS - GR250	ZINC			LASERCUT	FOLDING		MF	CT1		C:\AWS PDM\AWS\	AWS-A-003931	Default		0.2	03/02/2020						2	-	
1.1.2.1.3.2.1	            		1	Sheet	MS - GR250												Default		0.2							2		
1.1.2.1.3.3	          OEM-DS-9C	-	1	DS-9C SEWING HEAD	REFER DATA SHEET	NATURAL			PURCHASE			JQ			C:\AWS PDM\OEM\1034. Misc Component\	OEM-DS-9C	Default		25.0	17/09/2019	https://nlwww.com/eng/	Newlong 	"W:\Solidworks\Proprietry\3 QBooks Cat\OEM Data Sheets\1034_American-Newlong-Model-DS-9-Manual.pdf"	1034	Misc Component		-	DS-9C
1.1.2.1.3.4	          DRN80M4 Right	-	1	IE3 MOTOR	REFER DATA SHEET	NATURAL			PURCHASE			JQ			C:\AWS PDM\OEM\1051. Transmission\	OEM-DRN80M4	DRN80M4 Right		5.7	18/09/2019	https://www.sew-eurodrive.com.au/home.html	SEW	"W:\Solidworks\Proprietry\3 QBooks Cat\OEM Data Sheets\1051_EM Database (004).PNG"	1051	Transmission		-	DRN80M4
1.1.2.1.4	        AWS-Z-004405	2	1	SEWING MACHINE COTTON POST	AS PER BOM	NATURAL			ASSEMBLY			MF	DG		C:\AWS PDM\AWS\	AWS-Z-004405	Default		4.4	03/02/2020							-	
1.1.2.1.4.1	          AWS-B-003816	1	1	CONE SUPPORT ASSEMBLY	AS PER BOM	ZINC			WELDING			MF	CT1		C:\AWS PDM\AWS\	AWS-B-003816	Default		2.4	03/02/2020							-	
1.1.2.1.4.1.1	            AWS-A-003815	1	1	CONE SUPPORT PLATE	MS - GR250	NATURAL			LASERCUT			MF	CT1		C:\AWS PDM\AWS\	AWS-A-003815	Default		0.3	03/02/2020						5	-	
1.1.2.1.4.1.1.1	              		1	5mm Plate	MS - GR250				Laser Cut								Default		0.3	1/01/1800 12:00:00 PM						5		
1.1.2.1.4.1.2	            AWS-A-003814	1	1	CONE SUPPORT BRACKET	MS - GR250	NATURAL			LASERCUT	FOLDING		MF	CT1		C:\AWS PDM\AWS\	AWS-A-003814	Default		1.4	03/02/2020						3	-	
1.1.2.1.4.1.2.1	              		1	3mm Sheet	MS - GR250				Laser Cut & Fold								Default		1.4	1/01/1800 12:00:00 PM						3		
1.1.2.1.4.1.3	            AWS-A-003813	1	2	CONE SUPPORT RIB 2	MS - GR250	NATURAL			LASERCUT			MF	CT1		C:\AWS PDM\AWS\	AWS-A-003813	Default		0.2	03/02/2020						3	-	
1.1.2.1.4.1.3.1	              		1	3mm Sheet	MS - GR250				Laser Cut 								Default		0.2	1/01/1800 12:00:00 PM						3		
1.1.2.1.4.1.4	            AWS-A-003812	1	2	CONE SUPPORT RIB 1	MS - GR250	NATURAL			LASERCUT			MF	CT1		C:\AWS PDM\AWS\	AWS-A-003812	Default		0.2	03/02/2020						3	-	
1.1.2.1.4.1.4.1	              		1	3mm Sheet	MS - GR250				Laser Cut								Default		0.2	1/01/1800 12:00:00 PM						3		
1.1.2.1.4.2	          AWS-A-003811	1	1	CONE ANGLE BRACKET	MS - GR250	ZINC			LASERCUT	FOLDING		MF	CT1		C:\AWS PDM\AWS\	AWS-A-003811	Default<As Machined>		0.9	03/02/2020						3	-	
1.1.2.1.4.2.1	            		1	Sheet	MS - GR250												Default<As Machined>		0.9							3		
1.1.2.1.4.3	          AWS-B-003824	1	1	VERTICAL THREAD GUIDE ASSEMBLY	AS PER BOM	PASSIVATED			WELDING			MF	CT1		C:\AWS PDM\AWS\	AWS-B-003824	Default		1.0	03/02/2020							-	
1.1.2.1.4.3.1	            AWS-A-003822	1	1	THREAD GUIDE POST	SS304	NATURAL			CUTTING	MACHINE		MF	CT1		C:\AWS PDM\AWS\	AWS-A-003822	Default		0.9	03/02/2020							-	
1.1.2.1.4.3.2	            AWS-A-003823	1	1	VERTICAL THREAD GUIDE	SS304	NATURAL			CUTTING	ROLLING		MF	CT1		C:\AWS PDM\AWS\	AWS-A-003823	Default<As Machined>		0.1	03/02/2020							-	
1.1.2.1.4.4	          AS 1111.2 - M8 x 20-NNSS		3	M8 x 20 MACHINE SCREW STAINLESS STEEL	Stainless Steel				Fasteners						C:\AWS PDM\Solidworks Data\Toolbox\browser\AWS Toolbox\bolts and screws\machine screws\	hex screw gradec_1_as	AS 1111.2 - M8 x 20-NNSS		0.0			Costless Bolts						
1.1.2.1.4.5	          AS 1112.1 S1 - M8-D-NSS		3	M8 HEX NUT STAINLESS STEEL	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\nuts\hex nuts\	hexagon nut style 1 (grades a and b)_as	AS 1112.1 S1 - M8-D-NSS		0.006			Costless Bolts						
1.1.2.1.4.6	          AS 1237.1 N - 8SS		7	M8 Washer Stainless Steel	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\plain washers\	plain washer - normal_1_as	AS 1237.1 N - 8SS		0.0			Costless Bolts						
1.1.2.1.4.7	          GB_FASTENER_WASHER_WSLW 8SS		4	M8 SPRING WASHER STAINLESS STEEL	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\spring lock washers\	wave single coil spring lock washers_gb	GB_FASTENER_WASHER_WSLW 8SS		0.00			Costless Bolts						
1.1.2.1.4.8	          AS 1111.1 - M8 x 40 x 40-NNSS		1	M8 x 40mm Long Hex Head Bolt - SS	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\bolts and screws\hex head\	hex bolt gradec_1_as	AS 1111.1 - M8 x 40 x 40-NNSS		0.0228			Costless Bolts						
1.1.2.1.5	        AWS-Z-004458	1	1	START PANEL ASSY	AS PER BOM	NATURAL			ASSEMBLY			MF	 		C:\AWS PDM\AWS\	AWS-Z-004458	Default		1.1	03/02/2020							-	
1.1.2.1.5.1	          AWS-A-004457	1	1	START PANEL BOX	AS PER BOM	NATURAL			MACHINE			MF	CT1		C:\AWS PDM\AWS\	AWS-A-004457	Default		0.6	03/02/2020							-	
1.1.2.1.5.1.1	            OEM-EC480C5	-	1	WALL MOUNTING JUNCTION BOX	REFER DATA SHEET	NATURAL			PURCHASE			JQ			C:\AWS PDM\OEM\1016. Enclosure\	OEM-EC480C5	Default<As Machined>	ELECTRRO CANALI	0.6	09/12/2019	https://www.tim.pl/fileuploader/download/download/?d=1&file=GLOWNA%2F0004%2F000%2F11%2F591%2F17%2Fkec480c8_1.pdf		"W:\Solidworks\Proprietry\3 QBooks Cat\OEM Data Sheets\1016_kec480c8_1.pdf"	1016	Enclosure		-	EC480C5
1.1.2.1.5.2	          OEM-TRFMG16	-	1	M16 NYLON CABLE GLAND	Nylon 101	NATURAL			PURCHASE			DG			C:\AWS PDM\OEM\1058. Electrical\	OEM-TRFMG16	Default	L&H	0.0	13/07/2018	https://www.lh.com.au/			1058	Electrical		-	TRFMG16
1.1.2.1.5.3	          OEM-A22E-M-02B	-	1	E-STOP	REFER DATA SHEET	NATURAL			PURCHASE			JQ			C:\AWS PDM\OEM\1058. Electrical\	OEM-A22E-M-02B	Default	OMRON	0.4	10/12/2019	https://www.digikey.com/product-detail/en/omron-automation-and-safety/A22E-M-02B/SW1514-ND/2667612			1058	Electrical		YES	A22E-M-02B
1.1.2.1.5.4	          OEM-A22NN-BNM-NRA-G002-NN	-	1	STOP BUTTON	REFER DATA SHEET	NATURAL			PURCHASE			JQ			C:\AWS PDM\OEM\1058. Electrical\	OEM-A22NN-BNM-NRA-G002-NN	Default	OMRON	0.0	10/12/2019	https://www.digikey.com.au/product-detail/en/omron-automation-and-safety/A22NN-BNM-NRA-G002-NN/Z6106-ND/6203525			1058	Electrical		YES	A22NN-BNM-NRA-G002-NN
1.1.2.1.5.5	          OEM-A22NS-3RM-NBA-G101-NN	-	1	3 POSITION SWITCH	REFER DATA SHEET	NATURAL			PURCHASE			JQ			C:\AWS PDM\OEM\1058. Electrical\	OEM-A22NS-3RM-NBA-G101-NN	Default	OMRON	0.0	10/12/2019	https://www.digikey.jp/product-detail/en/omron-automation-and-safety/A22NS-2RM-NBA-G102-NN/Z6401-ND/5603110			1058	Electrical		YES	A22NS-3RM-NBA-G101-NN
1.1.2.1.6	        AWS-A-005320	1	1	PEDESTAL SEWING MACHINE VERTICAL COLUMN PLATE	MS - GR250	ZINC			LASERCUT			DG	CL		C:\AWS PDM\AWS\	AWS-A-005320	Default		0.7	06/04/2020						5	-	
1.1.2.1.6.1	          		1	Sheet	MS - GR250												Default		0.7							5		
1.1.2.1.7	        AS 1237.1 N - 8ZP		4	M8 FLAT WASHER Z/P	Mild Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\plain washers\	plain washer - normal_1_as	AS 1237.1 N - 8ZP		0.0			Costless Bolts						
1.1.2.1.8	        GB_FASTENER_WASHER_WSLW 8ZP		4	M8 SPRING WASHER Z/P	Zinc Plate				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\spring lock washers\	wave single coil spring lock washers_gb	GB_FASTENER_WASHER_WSLW 8ZP		0.00			Costless Bolts						
1.1.2.1.9	        AS 1111.2 - M8 x 20-NNZP		4	M8 x 20 MACHINE SCREW - Z/P	Zinc Plate				Fasteners						C:\AWS PDM\Solidworks Data\Toolbox\browser\AWS Toolbox\bolts and screws\machine screws\	hex screw gradec_1_as	AS 1111.2 - M8 x 20-NNZP		0.0143			Costless Bolts						
1.1.2.1.10	        OEM-WM4-625		1	STEEL ENCLOSURE 400X600X250 	MS - GR250	NATURAL			PURCHASE			DMG			C:\AWS PDM\OEM\1016. Enclosure\	OEM-WM4-625	Door Open	ELTECH	16.7	06/04/2020				1016	Enclosure		YES	WM4-625
1.1.2.2	      AWS-Z-009396		1	BAG FOLDER ASSEMBLY	AS PER BOM	NATURAL			ASSEMBLY			MG			C:\AWS PDM\AWS\007000-014000\	AWS-Z-009396	Default		3.0	02/06/2021							-	
1.1.2.2.1	        AWS-Z-009387		1	BAG FOLDER SIDE GUIDE HANDED ASSEMBLY	AS PER BOM	NATURAL			ASSEMBLY			MG			C:\AWS PDM\AWS\007000-014000\	AWS-Z-009387	Default		1.0	02/06/2021							-	
1.1.2.2.1.1	          AWS-B-009380		1	BAG FOLDER END SIDE GUIDE HANDED PAINT	AS PER BOM	POWDERCOAT		PEARL WHITE - GLOSS: 236,242,241	PAINT			MG			C:\AWS PDM\AWS\007000-014000\	AWS-B-009380	Default		0.4	01/06/2021							-	
1.1.2.2.1.1.1	            AWS-B-009379		1	BAG FOLDER END SIDE GUIDE HANDED WELD	AS PER BOM	PASSIVATED			WELDING			MG			C:\AWS PDM\AWS\007000-014000\	AWS-B-009379	Default		0.5	01/06/2021							-	
1.1.2.2.1.1.1.1	              AWS-A-009378		1	BAG FOLDER END SIDE GUIDE HANDED	SS304	NATURAL			LASERCUT	MACHINE		MG			C:\AWS PDM\AWS\007000-014000\	AWS-A-009378	Default		0.4	01/06/2021						3	-	
1.1.2.2.1.1.1.1.1	                		1	Sheet	SS304												Default		0.4							3		
1.1.2.2.1.1.1.2	              AWS-A-009377		1	JOINT PLATE	SS304	NATURAL			LASERCUT	MACHINE		MG			C:\AWS PDM\AWS\007000-014000\	AWS-A-009377	Default		0.0	01/06/2021						3	-	
1.1.2.2.1.1.1.2.1	                		1	Sheet	SS304												Default		0.0							3		
1.1.2.2.1.2	          AWS-A-009374		1	BAG FOLDER SIDE GUIDE HANDED	SS304	NATURAL			LASERCUT	MACHINE	FOLDING	MG			C:\AWS PDM\AWS\007000-014000\	AWS-A-009374	Default		0.4	01/06/2021						5	-	
1.1.2.2.1.2.1	            		1	Sheet	SS304												Default		0.4							5		
1.1.2.2.1.3	          AWS-A-009376		1	BAG FOLDER RAIL MOUNTING BRACKET WIDE	SS304	NATURAL			LASERCUT	FOLDING		MG			C:\AWS PDM\AWS\007000-014000\	AWS-A-009376	Default		0.1	01/06/2021						4	-	
1.1.2.2.1.3.1	            		1	Sheet	SS304												Default		0.1							4		
1.1.2.2.1.4	          AWS-A-009375		1	BAG FOLDER RAIL MOUNTING BRACKET NARROW	SS304	NATURAL			LASERCUT	FOLDING		MG			C:\AWS PDM\AWS\007000-014000\	AWS-A-009375	Default		0.0	01/06/2021						3	-	
1.1.2.2.1.4.1	            		1	Sheet	SS304												Default		0.0							3		
1.1.2.2.2	        AWS-Z-009388		1	BAG FOLDER SIDE GUIDE ASSEMBLY	AS PER BOM	NATURAL			ASSEMBLY			MG			C:\AWS PDM\AWS\007000-014000\	AWS-Z-009388	Default		0.8	02/06/2021							-	
1.1.2.2.2.1	          AWS-A-009373		1	BAG FOLDER SIDE GUIDE	SS304	NATURAL			LASERCUT	MACHINE	FOLDING	MG			C:\AWS PDM\AWS\007000-014000\	AWS-A-009373	Default		0.7	01/06/2021						5	-	
1.1.2.2.2.1.1	            		1	Sheet	SS304												Default		0.7							5		
1.1.2.2.2.2	          AWS-A-009375		2	BAG FOLDER RAIL MOUNTING BRACKET NARROW	SS304	NATURAL			LASERCUT	FOLDING		MG			C:\AWS PDM\AWS\007000-014000\	AWS-A-009375	Default		0.0	01/06/2021						3	-	
1.1.2.2.2.2.1	            		1	Sheet	SS304												Default		0.0							3		
1.1.2.2.2.3	          AWS-B-009412		1	BAG FOLDER BLADE PARTNER WELD	AS PER BOM	PASSIVATED			WELDING			MG			C:\AWS PDM\AWS\007000-014000\	AWS-B-009412	Default		0.1	03/06/2021							-	
1.1.2.2.2.3.1	            AWS-A-009407		1	BAG FOLDER BLADE PARTNER	SS304	NATURAL			LASERCUT	FOLDING		MG			C:\AWS PDM\AWS\007000-014000\	AWS-A-009407	Default		0.1	03/06/2021						1	-	
1.1.2.2.2.3.1.1	              		1	Sheet	SS304												Default		0.1							1		
1.1.2.2.2.3.2	            AWS-A-009408		2	BAG FOLDER END PLATE	SS304	NATURAL			LASERCUT			MG			C:\AWS PDM\AWS\007000-014000\	AWS-A-009408	Default		0.0	03/06/2021						1	-	
1.1.2.2.2.3.2.1	              		1	Sheet	SS304												Default		0.0							1		
1.1.2.2.2.3.3	            B18.3.5M - 5 x 0.8 x 12 Socket FCHS  -- 12NSS		3	COUNTER SINK M5 X 12 STAINLESS STEEL SOCKET HEAD SCREW	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\bolts and screws\socket head screws\	socket countersunk head screw_1_am	B18.3.5M - 5 x 0.8 x 12 Socket FCHS  -- 12NSS		0.003			Costless Bolts						
1.1.2.2.2.4	          AWS-A-009409		1	BAG FOLDER BLADE PARTNER END	SS304	NATURAL			LASERCUT	FOLDING		MG			C:\AWS PDM\AWS\007000-014000\	AWS-A-009409	Default		0.0	03/06/2021						0.7	-	
1.1.2.2.2.4.1	            		1	Sheet	SS304												Default		0.0							0.7		
1.1.2.2.3	        AWS-Z-009395		1	BAG FOLDER BLADE ASSEMBLY	AS PER BOM	NATURAL			ASSEMBLY			MG			C:\AWS PDM\AWS\007000-014000\	AWS-Z-009395	Default		1.2	02/06/2021							-	
1.1.2.2.3.1	          AWS-A-009381		1	BAG FOLDER BLADE MOUNTING BRACKET	SS304	NATURAL			CUTTING	MACHINE		MG			C:\AWS PDM\AWS\007000-014000\	AWS-A-009381	Default<As Machined>		0.2	01/06/2021							-	
1.1.2.2.3.1.1	            		1	75x50x5	SS304												Default<As Machined>		0.2									
1.1.2.2.3.2	          AWS-A-009382		1	BAG FOLDER BLADE BRACKET 1	SS304	NATURAL			LASERCUT	FOLDING		MG			C:\AWS PDM\AWS\007000-014000\	AWS-A-009382	Default		0.3	01/06/2021						5	-	
1.1.2.2.3.2.1	            		1	Sheet	SS304												Default		0.3							5		
1.1.2.2.3.3	          AWS-A-009383		1	BAG FOLDER BLADE BRACKET 2	SS304	NATURAL			LASERCUT	FOLDING	MACHINE	MG			C:\AWS PDM\AWS\007000-014000\	AWS-A-009383	Default		0.2	01/06/2021						5	-	
1.1.2.2.3.3.1	            		1	Sheet	SS304												Default		0.2							5		
1.1.2.2.3.4	          AWS-B-009390		1	BAG FOLDER BLADE WELDMENT	AS PER BOM	PASSIVATED			WELDING			MG			C:\AWS PDM\AWS\007000-014000\	AWS-B-009390	Default		0.5	02/06/2021							-	
1.1.2.2.3.4.1	            AWS-A-009384		1	BAG FOLDER BLADE BASE	SS304	NATURAL			LASERCUT	MACHINE		MG			C:\AWS PDM\AWS\007000-014000\	AWS-A-009384	Default		0.3	01/06/2021						5	-	
1.1.2.2.3.4.1.1	              		1	Sheet	SS304												Default		0.3							5		
1.1.2.2.3.4.2	            AWS-A-009386		1	BAG FOLDING TWIST BLADE	SS304	NATURAL			LASERCUT	ROLLING	FOLDING	MG			C:\AWS PDM\AWS\007000-014000\	AWS-A-009386	Default		0.1	02/06/2021						1.2	-	
1.1.2.2.3.4.2.1	              		1	Sheet	SS304												Default		0.1							1.2		
1.1.2.2.3.4.3	            AWS-A-009394		1	BAG FOLDING TWIST BLADE	SS304	NATURAL			LASERCUT	ROLLING	FOLDING	MG			C:\AWS PDM\AWS\007000-014000\	AWS-A-009394	Default		0.0	02/06/2021						1.2	-	
1.1.3	    AWS-Z-009022		1	HOPPER ASSEMBLY								FQ			C:\AWS PDM\AWS\007000-014000\	AWS-Z-009022	Default			10/05/2021								
1.1.3.1	      AWS-Z-008994		1	HOPPER SYSTEM	PER BOM	NATURAL			ASSEMBLY			FQ			C:\AWS PDM\AWS\007000-014000\	AWS-Z-008994	Default		2208.8	06/05/2021							-	
1.1.3.1.1	        AWS-B-009846	1	1	HOPPER FRAME PAINTED	PER BOM	POWDERCOAT		PEARL WHITE - GLOSS: 236,242,241	PAINT			FQ	DG		C:\AWS PDM\AWS\007000-014000\	AWS-B-009846	Default		404.9	06/07/2021							-	
1.1.3.1.1.1	          AWS-B-009741	1	1	HOPPER FRAME	PER BOM	POWDERCOAT		PEARL WHITE - GLOSS: 236,242,241	WELDING			FQ	DG		C:\AWS PDM\AWS\007000-014000\	AWS-B-009741	Default		404.9	28/06/2021							-	
1.1.3.1.1.1.1	            AWS-A-009845	1	1	HOPPER  FRAME	MS - GR250	NATURAL			CUTTING	WELDING		DG	DG	False	C:\AWS PDM\AWS\007000-014000\	AWS-A-009845	Default<As Machined>		391.1	05/07/2021							-	
1.1.3.1.1.1.1.1	              		3	100x100x6 SHS	AS 1163-C350LO												Default<As Machined>		57.9									
1.1.3.1.1.1.1.2	              		2	75x75x6 SHS	AS 1163-C350LO												Default<As Machined>		25.3									
1.1.3.1.1.1.1.3	              		2	50x50x3 SHS	AS 1163-C350LO												Default<As Machined>		6.5									
1.1.3.1.1.1.1.4	              		4	125x125x10 EA	BHP - 300 PLUS												Default<As Machined>		29.3									
1.1.3.1.1.1.1.5	              		2	30x30x3 EA	BHP - 300 PLUS												Default<As Machined>		0.5									
1.1.3.1.1.1.1.6	              		2	50x50x3 SHS	AS 1163-C350LO												Default<As Machined>		8.9									
1.1.3.1.1.1.1.7	              		2	50x50x3 SHS	AS 1163-C350LO												Default<As Machined>		8.9									
1.1.3.1.1.1.2	            AWS-A-009844	1	3	BASE PLATE M16 200X10 	MS - GR250	NATURAL			LASERCUT			FQ	DG		C:\AWS PDM\AWS\007000-014000\	AWS-A-009844	Default<As Machined>		3.6	05/07/2021						12	-	
1.1.3.1.1.1.2.1	              		1	Sheet	MS - GR250												Default<As Machined>		3.6							12		
1.1.3.1.1.1.3	            AWS-A-010624	1	24	BASE PLATE GUSSET	MS - GR250	NATURAL			LASERCUT			FQ	DG		C:\AWS PDM\AWS\007000-014000\	AWS-A-010624	Default		0.1	21/09/2021						6	-	
1.1.3.1.1.1.3.1	              		1	Sheet	MS - GR250												Default		0.1							6		
1.1.3.1.2	        AWS-B-008985	1	1	HOPPER ASSEMBLY WELDED	AS PER BOM	PASSIVATED			WELDING			FQ	DG		C:\AWS PDM\AWS\007000-014000\	AWS-B-008985	Default		192.3	06/05/2021							-	
1.1.3.1.2.1	          AWS-A-008995	1	1	INLET CHUTE FLANGE	SS304	NATURAL			LASERCUT			FQ	DG		C:\AWS PDM\AWS\007000-014000\	AWS-A-008995	Default		5.0	06/05/2021						6	-	
1.1.3.1.2.1.1	            		1	Sheet	SS304												Default		5.0							6		
1.1.3.1.2.2	          AWS-A-008986	1	2	HOPPER BRACE HALF	SS304	NATURAL			LASERCUT	FOLDING		FQ	DG		C:\AWS PDM\AWS\007000-014000\	AWS-A-008986	Default<As Machined>		0.4	06/05/2021						3	-	
1.1.3.1.2.2.1	            		1	Sheet	SS304												Default<As Machined>		0.4							3		
1.1.3.1.2.3	          AWS-A-008987	1	1	HOPPER LOWER BODY SENSOR HALF	SS304	NATURAL			LASERCUT	FOLDING		FQ	DG		C:\AWS PDM\AWS\007000-014000\	AWS-A-008987	Default<As Machined>		40.5	06/05/2021						3	-	
1.1.3.1.2.3.1	            		1	Sheet	SS304												Default<As Machined>		40.5							3		
1.1.3.1.2.4	          AWS-A-008988	1	1	HOPPER LOWER BODY BLANK HALF	SS304	NATURAL			LASERCUT	FOLDING		FQ	DG		C:\AWS PDM\AWS\007000-014000\	AWS-A-008988	Default<As Machined>		40.6	06/05/2021						3	-	
1.1.3.1.2.4.1	            		1	Sheet	SS304												Default<As Machined>		40.6							3		
1.1.3.1.2.5	          AWS-A-008990	1	2	HOPPER UPPER BODY SENSOR HALF	SS304	NATURAL			LASERCUT	FOLDING		FQ	DG		C:\AWS PDM\AWS\007000-014000\	AWS-A-008990	Default<As Machined>		52.0	06/05/2021						3	-	
1.1.3.1.2.5.1	            		1	Sheet	SS304												Default<As Machined>		52.0							3		
1.1.3.1.2.6	          AWS-A-008991	1	4	HOPPER CORNER INFILL	SS304	NATURAL			LASERCUT	FOLDING		FQ	DG		C:\AWS PDM\AWS\007000-014000\	AWS-A-008991	Default<As Machined>		0.3	06/05/2021						3	-	
1.1.3.1.2.6.1	            		1	Sheet	SS304												Default<As Machined>		0.3							3		
1.1.3.1.2.7	          AWS-A-005112	1	4	HOPPER CABLE TAG	SS304	NATURAL			LASERCUT			MF	CL		C:\AWS PDM\AWS\	AWS-A-005112	Default<As Machined>		0.0	17/03/2020						3	-	
1.1.3.1.2.7.1	            		1	Sheet	SS304												Default<As Machined>		0.0							3		
1.1.3.1.2.8	          OEM-SSP26H-065 		1	2 1/2 BSP SS 316 HALF SOCKET	SS316L	NATURAL			PURCHASE			FQ			C:\AWS PDM\OEM\1034. Misc Component\	OEM-SSP26H-065 	Default<As Machined>	BAT INDUSTRIAL	0.3	16/09/2021		BAT INDUSTRIAL		1034	Misc Component		YES	SSP26H-065 
