Item No.	PART NUMBER	revision	QTY	Description	Material	Finish	Treatment	Colour	Comments	SecondProcess	Third Process	Author	Approved	Asset	SW-Folder Name(Folder Name)	SW-File Name(File Name)	SW-Configuration Name(Configuration Name)	Distributor	mass	DrawnDate	OEM_Internet	OEM_Supplier	OEM_Data_Sheet	Qb_Code	QB_Catergory	Sheet Metal Thickness	Spare_Part	Supplier_Part_Number
1.3.4.1.38	        GB_FASTENER_WASHER_WSLW 16SS		17	M16 SPRING WASHER STAINLESS STEEL	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\spring lock washers\	wave single coil spring lock washers_gb	GB_FASTENER_WASHER_WSLW 16SS		0.01			Costless Bolts						
1.3.4.1.39	        GB_HEXAGON_TYPE9 M8-SSS		8	M8 Nyloc Nut - SS	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\nuts\nyloc\	prevailing torque type style 1_gb	GB_HEXAGON_TYPE9 M8-SSS		0.0			Costless Bolts						
1.3.4.1.40	        AS 1237.1 N - 8MS		8	M8 FLAT WASHER - Z/P	Mild Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\plain washers\	plain washer - normal_1_as	AS 1237.1 N - 8MS		0.0			Costless Bolts						
1.3.4.1.41	        AS 1420 - M8 x 25-NMS		4	M8 x 25 Socket Head Cap Screw Mild Steel	Mild Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\bolts and screws\socket head screws\	hexagon socket head cap screw_1_as	AS 1420 - M8 x 25-NMS		0.02			Costless Bolts						
1.3.4.1.42	        AS 1420 - M8 x 30-NMS		4		Mild Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\bolts and screws\socket head screws\	hexagon socket head cap screw_1_as	AS 1420 - M8 x 30-NMS		0.00			Costless Bolts						
1.3.4.1.43	        AS 1420 - M4 x 12-NSS		4	M4 x 12 Socket Head Cap Screw Stainless Steel	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\bolts and screws\socket head screws\	hexagon socket head cap screw_1_as	AS 1420 - M4 x 12-NSS		0.00			Costless Bolts						
1.3.4.1.44	        GB_HEXAGON_TYPE9 M12-SSS		8	M12 Nyloc Nut - SS	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\nuts\nyloc\	prevailing torque type style 1_gb	GB_HEXAGON_TYPE9 M12-SSS		0.0			Costless Bolts						
1.3.4.1.45	        AS 1111.1 - M12 x 35 x 35-NNZP		16	M12 x 35 Hex Head Bolt - Z/P	Zinc Plate				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\bolts and screws\hex head\	hex bolt gradec_1_as	AS 1111.1 - M12 x 35 x 35-NNZP		0.0481			Costless Bolts						
1.3.4.1.46	        AS 1237.1 N - 12MS		32	M12 WASHER ZINC	Mild Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\plain washers\	plain washer - normal_1_as	AS 1237.1 N - 12MS		0.0			Costless Bolts						
1.3.4.1.47	        B18.3.5M - 10 x 1.5 x 30 Socket FCHS  -- 30NZP		2	COUNTER SINK M10 X 30 SOCKET HEAD SCREW - ZP	Zinc Plate				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\bolts and screws\socket head screws\	socket countersunk head screw_1_am	B18.3.5M - 10 x 1.5 x 30 Socket FCHS  -- 30NZP		0.023			Costless Bolts						
1.3.4.1.48	        AS 1420 - M16 x 50-NMS		8		Mild Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\bolts and screws\socket head screws\	hexagon socket head cap screw_1_as	AS 1420 - M16 x 50-NMS		0.12			Costless Bolts						
1.3.4.1.49	        GB_HEXAGON_TYPE9 M6-SSS		4	M6 NYLOC NUT S/S	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\nuts\nyloc\	prevailing torque type style 1_gb	GB_HEXAGON_TYPE9 M6-SSS		0.0			Costless Bolts						
1.3.4.1.50	        AS 1420 - M6 x 16-NSS		4	M6 x 16 Socket Head Cap Screw Stainless Steel	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\bolts and screws\socket head screws\	hexagon socket head cap screw_1_as	AS 1420 - M6 x 16-NSS		0.01			Costless Bolts						
1.3.4.1.51	        AS 1111.1 - M16 x 150 x 44-NNZP		1	M16 X 150 X 44 HEX HEAD BOLT - ZP	Zinc Plate				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\bolts and screws\hex head\	hex bolt gradec_1_as	AS 1111.1 - M16 x 150 x 44-NNZP		0.2767			Costless Bolts						
1.3.4.1.52	        AS 1237.1 N - 10MS		1	M10 FLAT WASHER ZINC	Mild Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\plain washers\	plain washer - normal_1_as	AS 1237.1 N - 10MS		0.0			Costless Bolts						
1.3.4.1.53	        AS 1237.1 N - 10ZP		1	M10 FLAT WASHER Z/P	Zinc Plate				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\plain washers\	plain washer - normal_1_as	AS 1237.1 N - 10ZP		0.0			Costless Bolts						
1.3.4.1.54	        AS 1111.1 - M10 x 60 x 26-NNZP		1	M10 X 60 X 26 HEX HEAD BOLT ZP	Zinc Plate				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\bolts and screws\hex head\	hex bolt gradec_1_as	AS 1111.1 - M10 x 60 x 26-NNZP		0.0485			Costless Bolts						
1.3.4.1.55	        GB_FASTENER_WASHER_WSLW 10ZP		1	M10 SPRING WASHER Z/P	Zinc Plate				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\spring lock washers\	wave single coil spring lock washers_gb	GB_FASTENER_WASHER_WSLW 10ZP		0.00			Costless Bolts						
